,Date,State,District,Confirmed,Recovered,Deceased,Tested,Population
244,2021-02-11,Odisha,Nayagarh,6480,6433,47,1104.0,962789
245,2021-02-11,Odisha,Nuapada,7598,7557,27,310.0,610382
246,2021-02-11,Odisha,Puri,14398,14222,120,173340.0,1698730
247,2021-02-11,Odisha,Rayagada,8434,8374,45,578.0,967911
248,2021-02-11,Odisha,Sambalpur,9912,9788,77,2007.0,1041099
249,2021-02-11,Punjab,Amritsar,15182,14435,585,89227.0,2490656
250,2021-02-11,Punjab,Barnala,2347,2234,67,63447.0,595527
251,2021-02-11,Punjab,Bathinda,9598,9300,226,118489.0,1388525
252,2021-02-11,Punjab,Faridkot,4071,3959,82,23635.0,617508
253,2021-02-11,Punjab,Fatehgarh Sahib,2655,2491,113,68436.0,600163
254,2021-02-11,Punjab,Gurdaspur,8263,7908,278,249039.0,2298323
255,2021-02-11,Punjab,Hoshiarpur,8192,7747,345,221261.0,1586625
256,2021-02-11,Punjab,Jalandhar,20905,20016,687,443735.0,2193590
257,2021-02-11,Punjab,Kapurthala,5076,4765,204,38658.0,815168
258,2021-02-11,Punjab,Ludhiana,26214,24872,1009,514691.0,3498739
259,2021-02-11,Punjab,Mansa,2483,2418,53,26878.0,769751
260,2021-02-11,Punjab,Moga,2819,2702,95,77307.0,995746
261,2021-02-11,Punjab,Patiala,16546,15914,503,273344.0,1895686
262,2021-02-11,Punjab,Rupnagar,3577,3335,173,97745.0,684627
263,2021-02-11,Punjab,Sangrur,4485,4245,207,166332.0,1655169
264,2021-02-11,Punjab,Shahid Bhagat Singh Nagar,2985,2585,92,77715.0,612310
265,2021-02-11,Punjab,Tarn Taran,2171,2045,106,111446.0,1119627
266,2021-02-11,Puducherry,Karaikal,3941,3827,66,73142.0,200222
267,2021-02-11,Puducherry,Mahe,2126,2048,10,42415.0,41816
268,2021-02-11,Puducherry,Puducherry,31210,30495,535,425639.0,950289
269,2021-02-11,Puducherry,Yanam,2120,2075,45,26727.0,55626
270,2021-02-11,Rajasthan,Ajmer,17102,16795,222,261215.0,2583052
271,2021-02-11,Rajasthan,Alwar,21809,21697,78,291879.0,3674179
272,2021-02-11,Rajasthan,Banswara,2313,2258,34,48781.0,1797485
273,2021-02-11,Rajasthan,Baran,2640,2586,36,46168.0,1222755
274,2021-02-11,Rajasthan,Barmer,5042,4974,53,113868.0,2603751
275,2021-02-11,Rajasthan,Bharatpur,9089,8955,120,201441.0,2548462
276,2021-02-11,Rajasthan,Bhilwara,10315,10170,40,148764.0,2408523
277,2021-02-11,Rajasthan,Bikaner,19060,18885,167,278302.0,2363937
278,2021-02-11,Rajasthan,Bundi,3067,3029,19,58167.0,1110906
279,2021-02-11,Rajasthan,Churu,4377,4336,41,131700.0,2039547
280,2021-02-11,Rajasthan,Dausa,2431,2404,24,61680.0,1634409
281,2021-02-11,Rajasthan,Dungarpur,4995,4925,34,121917.0,1388552
282,2021-02-11,Rajasthan,Ganganagar,6770,6707,42,80706.0,1969168
283,2021-02-11,Rajasthan,Hanumangarh,2976,2964,12,82542.0,1774692
284,2021-02-11,Rajasthan,Jaipur,59149,58337,517,968783.0,6626178
285,2021-02-11,Rajasthan,Jaisalmer,2243,2210,25,80082.0,669919
286,2021-02-11,Rajasthan,Jhalawar,3670,3620,24,97163.0,1411129
287,2021-02-11,Rajasthan,Jodhpur,44854,44429,305,600959.0,3687165
288,2021-02-11,Rajasthan,Karauli,1559,1535,20,64481.0,1458248
289,2021-02-11,Rajasthan,Kota,19885,19402,169,355509.0,1951014
290,2021-02-11,Rajasthan,Nagaur,10279,10157,95,229822.0,3307743
291,2021-02-11,Rajasthan,Pali,11010,10893,109,179463.0,2037573
292,2021-02-11,Rajasthan,Pratapgarh,1252,1219,22,52208.0,867848
293,2021-02-11,Rajasthan,Pratapgarh,1252,1219,22,52208.0,3209141
294,2021-02-11,Uttar Pradesh,Pratapgarh,5411,5323,73,100500.0,867848
295,2021-02-11,Uttar Pradesh,Pratapgarh,5411,5323,73,100500.0,3209141
296,2021-02-11,Rajasthan,Rajsamand,4201,4125,42,91975.0,1156597
297,2021-02-11,Rajasthan,Sawai Madhopur,2122,2095,27,84683.0,1335551
298,2021-02-11,Rajasthan,Sikar,9065,8945,101,165042.0,2677333
299,2021-02-11,Rajasthan,Sirohi,3767,3726,29,84616.0,1036346
300,2021-02-11,Rajasthan,Tonk,3461,3423,36,74225.0,1421326
301,2021-02-11,Rajasthan,Udaipur,11842,11619,122,251522.0,3068420
302,2021-02-11,Tamil Nadu,Ariyalur,4709,4650,49,18285.0,754894
303,2021-02-11,Tamil Nadu,Chennai,232918,227226,4117,2667777.0,4646732
304,2021-02-11,Tamil Nadu,Coimbatore,55018,53879,676,102107.0,3458045
305,2021-02-11,Tamil Nadu,Cuddalore,25033,24667,287,36434.0,2605914
306,2021-02-11,Tamil Nadu,Dharmapuri,6621,6540,54,163803.0,1506843
307,2021-02-11,Tamil Nadu,Dindigul,11331,11084,199,27800.0,2159775
308,2021-02-11,Tamil Nadu,Erode,14579,14255,150,66240.0,2251744
309,2021-02-11,Tamil Nadu,Kancheepuram,29348,28817,441,37505.0,3998252
310,2021-02-11,Tamil Nadu,Karur,5445,5364,50,17190.0,1064493
311,2021-02-11,Tamil Nadu,Krishnagiri,8101,7968,117,14284.0,1879809
312,2021-02-11,Tamil Nadu,Madurai,21106,20575,459,97279.0,3038252
313,2021-02-11,Tamil Nadu,Nagapattinam,8517,8329,133,20984.0,1616450
314,2021-02-11,Tamil Nadu,Namakkal,11719,11551,111,24758.0,1726601
315,2021-02-11,Tamil Nadu,Perambalur,2275,2247,21,7981.0,565223
316,2021-02-11,Tamil Nadu,Pudukkottai,11604,11417,156,20835.0,1618345
317,2021-02-11,Tamil Nadu,Ramanathapuram,6428,6282,137,23389.0,1353445
318,2021-02-11,Tamil Nadu,Salem,32552,31994,466,79660.0,3482056
319,2021-02-11,Tamil Nadu,Sivaganga,6693,6544,126,25824.0,1339101
320,2021-02-11,Tamil Nadu,Thanjavur,17859,17473,248,67445.0,2405890
321,2021-02-11,Tamil Nadu,Theni,17118,16879,206,45839.0,1245899
322,2021-02-11,Tamil Nadu,Thiruvallur,43813,42881,692,67948.0,3728104
323,2021-02-11,Tamil Nadu,Thiruvarur,11257,11104,109,67445.0,1264277
324,2021-02-11,Tamil Nadu,Thoothukkudi,16302,16145,141,49288.0,1750176
325,2021-02-11,Tamil Nadu,Tiruchirappalli,14820,14524,181,92586.0,2722290
326,2021-02-11,Tamil Nadu,Tirunelveli,15645,15377,214,54208.0,3077233
327,2021-02-11,Tamil Nadu,Tiruppur,18091,17742,222,36301.0,2479052
328,2021-02-11,Tamil Nadu,Tiruvannamalai,19413,19092,284,76170.0,2464875
329,2021-02-11,Tamil Nadu,Vellore,20845,20420,349,47936.0,3936331
330,2021-02-11,Tamil Nadu,Viluppuram,15220,15084,112,52064.0,3458873
331,2021-02-11,Tamil Nadu,Virudhunagar,16611,16349,231,28620.0,1942288
332,2021-02-11,Tripura,Dhalai,3473,3454,18,61582.0,378230
333,2021-02-11,Tripura,North Tripura,2759,2736,16,100931.0,693947
334,2021-02-11,Tripura,South Tripura,4056,4029,23,83030.0,876001
335,2021-02-11,Tripura,West Tripura,11641,11435,194,202939.0,1725739
336,2021-02-11,Uttar Pradesh,Agra,10509,10314,172,491361.0,4418797
337,2021-02-11,Uttar Pradesh,Aligarh,11427,11354,56,482825.0,3673889
338,2021-02-11,Uttar Pradesh,Ambedkar Nagar,1914,1833,44,123151.0,2397888
339,2021-02-11,Uttar Pradesh,Auraiya,3532,3454,47,107079.0,1379545
340,2021-02-11,Uttar Pradesh,Azamgarh,6044,5930,96,12474.0,4613913
341,2021-02-11,Uttar Pradesh,Baghpat,2330,2291,36,327192.0,1303048
342,2021-02-11,Uttar Pradesh,Bahraich,4136,4040,76,308225.0,3487731
343,2021-02-11,Uttar Pradesh,Ballia,7898,7667,106,267420.0,3239774
344,2021-02-11,Uttar Pradesh,Banda,3865,3810,43,303185.0,1799410
345,2021-02-11,Uttar Pradesh,Barabanki,7816,7696,102,147422.0,3260699
346,2021-02-11,Uttar Pradesh,Bareilly,14635,14372,165,465209.0,4448359
347,2021-02-11,Uttar Pradesh,Basti,5333,5134,99,296570.0,2464464
348,2021-02-11,Uttar Pradesh,Bijnor,4414,4333,64,312985.0,3682713
349,2021-02-11,Uttar Pradesh,Budaun,4060,3997,45,224207.0,3681896
350,2021-02-11,Uttar Pradesh,Chandauli,4871,4790,66,211249.0,1952756
